GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US06001,6001,"Alameda County, California",564293,1576,28717,973,24566,1002,19440,888,20781,1022,18185,944,18747,803,18175,857,18632,888,17294,825,35023,1300,47856,1327,67428,1762,57480,1402,42402,1299,56858,1293,72709,1407
0500000US06013,6013,"Contra Costa County, California",387540,1199,15082,805,12997,855,12404,765,13217,764,11644,755,13480,838,11826,812,12851,766,12422,680,25197,1067,35549,1241,47864,1539,40984,882,30195,1298,39034,1085,52794,1238
0500000US06041,6041,"Marin County, California",104400,772,3524,407,3432,380,2992,371,3352,463,2906,356,3102,386,3202,397,3010,415,2675,377,5506,552,7208,499,11122,700,10432,550,7315,509,11224,736,23398,876
0500000US06055,6055,"Napa County, California",49375,570,1739,229,1973,274,1410,217,2121,303,1750,268,1728,238,1752,258,1991,304,2036,260,3386,315,4930,406,6413,379,5115,362,3613,293,4245,337,5173,347
0500000US06075,6075,"San Francisco County, California",356797,1619,22457,1129,20708,1214,12701,834,12106,842,10129,755,10310,695,9028,737,9532,651,8406,608,17317,870,25947,1067,36378,1343,33890,1258,24935,1177,37190,1226,65763,1584
0500000US06081,6081,"San Mateo County, California",261010,932,8038,477,6152,545,6554,717,7781,587,6588,545,7672,505,7060,533,7868,644,7198,626,14298,795,21186,894,31737,1191,26467,1027,21441,847,28647,889,52323,944
0500000US06085,6085,"Santa Clara County, California",626579,1547,22491,831,19179,912,16400,861,17579,782,16591,992,18359,830,16283,773,17367,856,16052,893,32065,1022,47310,1356,68990,1705,66364,1567,51033,1281,75884,1559,124632,1969
0500000US06095,6095,"Solano County, California",145315,947,6944,579,6317,554,5382,465,5574,515,5527,450,5857,512,5375,533,6067,533,5083,430,11099,678,14591,677,21298,823,15102,673,10772,720,11465,624,8862,520
0500000US06097,6097,"Sonoma County, California",189043,1028,7930,594,7725,540,7270,561,7932,621,7865,704,7674,609,8211,591,6978,469,7833,642,15154,896,19434,822,25349,970,18623,924,12344,664,14650,868,14071,633
,,,2684352,,116922,,103049,,84553,,90443,,81185,,86929,,80912,,84296,,78999,,159045,,224011,,316579,,274457,,204050,,279197,,419725,
,,,,3560.737002,,2166.483787,,2270.591553,,2010.077362,,2061.620964,,2051.572811,,1900.701976,,1917.32183,,1927.50201,,1873.180984,,2632.171537,,2936.889681,,3722.121707,,3094.60159,,2901.746026,,3061.211688,,3514.017644
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,2684352,3560.737002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10000,0.043556881,116922,2166.483787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,14999,0.038388781,103049,2270.591553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15000,19999,0.031498477,84553,2010.077362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000,24999,0.033692675,90443,2061.620964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25000,29999,0.030243798,81185,2051.572811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30000,34999,0.032383607,86929,1900.701976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35000,39999,0.030142098,80912,1917.32183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40000,44999,0.031402737,84296,1927.50201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45000,49999,0.029429449,78999,1873.180984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,59999,0.059248936,159045,2632.171537,Total/2,1342176,persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60000,74999,0.08345068,224011,2936.889681,Pop <75,1190344,persons,,Median Income ,,86990.05619,,,,,,,,,,,,,,,,,,,,,,,,,
75000,99999,0.11793498,316579,3722.121707,Cummulative sum,0.561373099,percentage,,MOE (Total/2),,1780.368501,,,,,,,,,,,,,,,,,,,,,,,,,
100000,124999,0.102243297,274457,3094.60159,75<Pop<100,316579,persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125000,149999,0.076014621,204050,2901.746026,,,,a,MOE (Pop<75),,7239.847443,,,,,,,,,,,,,,,,,,,,,,,,,
150000,199999,0.104009087,279197,3061.211688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200000,250000,0.156359896,419725,3514.017644,,,,b,MOE (Total)/2 - (Pop<75)),,,7455.541764,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
