GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; With cash rent:,Margin of Error; With cash rent:,Estimate; With cash rent: - Less than $100,Margin of Error; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Margin of Error; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Margin of Error; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Margin of Error; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Margin of Error; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Margin of Error; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Margin of Error; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Margin of Error; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Margin of Error; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Margin of Error; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Margin of Error; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Margin of Error; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Margin of Error; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Margin of Error; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Margin of Error; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Margin of Error; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,Margin of Error; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Margin of Error; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Margin of Error; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Margin of Error; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 to $2,499","Margin of Error; With cash rent: - $2,000 to $2,499","Estimate; With cash rent: - $2,500 to $2,999","Margin of Error; With cash rent: - $2,500 to $2,999","Estimate; With cash rent: - $3,000 to $3,499","Margin of Error; With cash rent: - $3,000 to $3,499","Estimate; With cash rent: - $3,500 or more","Margin of Error; With cash rent: - $3,500 or more",Estimate; No cash rent,Margin of Error; No cash rent
0500000US06001,6001,"Alameda County, California",267659,2411,260783,2418,1683,259,906,221,1279,222,4142,412,3398,377,1891,242,1847,318,2241,274,1958,334,2802,395,1784,233,3969,412,2993,337,5253,449,4300,440,13977,840,15538,767,44900,1246,41386,1411,58963,1614,27388,1077,11130,685,4535,407,2520,320,6876,548
0500000US06013,6013,"Contra Costa County, California",137485,1867,133278,1869,677,160,370,132,929,255,2254,378,1101,309,870,193,792,219,1096,246,515,164,1166,275,761,193,1191,277,902,180,1791,285,2371,436,6346,574,8257,617,23457,1181,20610,929,35520,1402,13592,766,4678,449,2316,368,1716,294,4207,472
0500000US06041,6041,"Marin County, California",38200,880,36830,885,106,60,173,118,353,124,421,149,436,186,277,134,241,99,252,128,134,71,406,141,87,53,254,91,128,60,264,105,257,112,558,149,1153,225,3681,467,5261,482,10665,636,5406,411,2974,390,2283,381,1060,200,1370,307
0500000US06055,6055,"Napa County, California",18964,684,18021,681,72,38,14,14,52,36,185,72,167,83,237,120,187,86,121,68,161,80,241,112,121,76,192,81,193,118,334,137,264,107,930,202,1065,182,3543,422,3029,367,4041,389,1769,267,657,130,265,83,181,87,943,174
0500000US06075,6075,"San Francisco County, California",225466,2172,219959,2050,1499,310,1058,254,902,215,4063,542,5599,557,2776,381,2277,372,4195,469,2209,354,4447,483,2615,413,3600,418,2720,342,3523,494,3147,417,8274,683,7452,595,22315,862,21143,959,42088,1402,28814,1131,20933,1101,13667,802,10643,839,5507,497
0500000US06081,6081,"San Mateo County, California",106666,1495,103619,1489,422,186,102,81,303,147,715,221,254,95,344,100,323,136,551,184,249,139,625,154,331,127,530,195,588,183,677,214,723,192,1718,312,2419,393,11299,709,15440,755,29077,1092,17297,953,11116,682,5304,463,3212,335,3047,360
0500000US06085,6085,"Santa Clara County, California",272324,2460,265845,2468,901,252,718,224,525,122,1834,312,2819,362,1640,273,1120,207,2218,335,1264,288,2155,254,1627,306,2061,321,1191,227,1941,284,1650,259,5532,483,7424,608,27608,1219,36122,1417,71669,1529,49060,1361,25226,991,12443,694,7097,552,6479,482
0500000US06095,6095,"Solano County, California",59232,1278,57326,1333,194,110,264,141,293,117,654,186,295,112,381,115,438,176,444,148,297,128,631,160,523,160,915,238,572,154,1288,249,1459,305,4611,487,5475,525,12414,833,10244,697,12126,786,2933,370,601,151,162,65,112,62,1906,261
0500000US06097,6097,"Sonoma County, California",76269,1267,72871,1222,146,80,179,94,316,142,1143,215,563,146,598,187,458,188,730,179,469,158,1155,257,515,184,957,226,585,180,1335,234,980,191,4278,511,5852,450,15640,861,12710,807,16952,924,5079,552,1404,264,573,147,254,103,3398,371
